jour,station,nouveaux_inscrits
2026-07-09,NDS · Caisse 2,41
2026-07-09,NDS · Brigade Verte 3,19
2026-07-09,NDS · Caisse 1,15
2026-07-09,NDS · Brigade Verte 2,12
2026-07-09,NDS · Bar 1,9
2026-07-09,NDS · Bar 3,8
2026-07-09,Nook Café,4
2026-07-09,NDS · Bar 2,3
2026-07-09,Domaine de la Bergerie,1
2026-07-09,Électroménager J Giordano,1
2026-07-09,Utile Vence,1
2026-07-10,NDS · Caisse 2,58
2026-07-10,NDS · Bar 1,37
2026-07-10,NDS · Caisse 1,31
2026-07-10,NDS · Brigade Verte 3,27
2026-07-10,NDS · Brigade Verte 2,18
2026-07-10,NDS · Bar 3,6
2026-07-10,NDS · L'Écran,5
2026-07-10,NDS · Bar 2,2
2026-07-10,SAFER,2
2026-07-10,Utile Vence,2
2026-07-10,Nook Café,1
2026-07-11,NDS · L'Écran,24
2026-07-11,NDS · Brigade Verte 3,11
2026-07-11,NDS · Caisse 2,9
2026-07-11,NDS · Bar 1,6
2026-07-11,NDS · Bar 2,5
2026-07-11,NDS · Bar 3,4
2026-07-11,NDS · Caisse 1,3
2026-07-11,SAFER,1
2026-07-11,Utile Vence,1
2026-07-12,NDS · Caisse 2,2
2026-07-13,Utile Vence,1
2026-07-14,NDS · Caisse 1,1
2026-07-14,Assurance Charvolin,1
2026-07-15,Électroménager J Giordano,4
2026-07-15,Assurance Charvolin,1
2026-07-16,NDS · Brigade Verte 2,47
2026-07-16,NDS · L'Écran,9
2026-07-16,NDS · Caisse 1,4
2026-07-16,NDS · Bar 2,3
2026-07-16,NDS · Bar 1,3
2026-07-16,NDS · Caisse 2,2
2026-07-16,NDS · Brigade Verte 3,1
2026-07-16,NDS · Bar 3,1
2026-07-17,NDS · Brigade Verte 2,34
2026-07-17,NDS · Brigade Verte 3,23
2026-07-17,NDS · L'Écran,10
2026-07-17,NDS · Bar 3,6
2026-07-17,NDS · Caisse 2,6
2026-07-17,NDS · Caisse 1,3
2026-07-17,NDS · Bar 2,2
2026-07-17,NDS · Bar 1,2
2026-07-17,Électroménager J Giordano,1
2026-07-17,SAFER,1
2026-07-18,NDS · L'Écran,29
2026-07-18,NDS · Brigade Verte 3,21
2026-07-18,NDS · Brigade Verte 2,17
2026-07-18,NDS · Bar 3,6
2026-07-18,NDS · Caisse 2,4
2026-07-18,NDS · Caisse 1,2
2026-07-18,NDS · Bar 1,2
2026-07-18,NDS · Bar 2,1
